date,pacitan,nawangan,kebonagung,bandar,tegalombo,tulakan,p_das,pe,q_runoff,q_baseflow,q_total
2014-04-11,9.0,0.0,10.0,12.0,11.0,4.0,7.6667,0.0,0.0,3.92918,3.92918
2014-04-12,10.0,0.0,4.0,0.0,0.0,0.0,2.3333,0.0,0.0,3.92918,3.92918
2014-04-13,5.0,10.0,24.0,4.0,6.0,26.0,12.5,0.0,0.0,3.92918,3.92918
2014-04-14,0.0,0.0,0.0,2.0,0.0,0.0,0.3333,0.0,0.0,3.92918,3.92918
2014-04-15,19.0,5.0,17.0,0.0,0.0,0.0,6.8333,0.0,0.0,3.92918,3.92918
2014-04-16,4.0,0.0,2.0,0.0,0.0,17.0,3.8333,0.0,0.0,3.92918,3.92918
2014-04-17,0.0,0.0,1.0,7.0,14.0,2.0,4.0,0.0,0.0,3.92918,3.92918
2014-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-04-20,0.0,9.0,20.0,0.0,2.0,1.0,5.3333,0.0,0.0,3.92918,3.92918
2014-04-21,0.0,11.0,1.0,0.0,0.0,10.0,3.6667,0.0,0.0,3.92918,3.92918
2014-04-22,36.0,8.0,47.0,0.0,3.0,8.0,17.0,0.272714,2.209487,3.92918,6.138667
2014-04-23,2.0,38.0,2.0,16.0,12.0,0.0,11.6667,0.0,0.0,3.92918,3.92918
2014-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-04-26,0.0,0.0,2.0,0.0,0.0,0.0,0.3333,0.0,0.0,3.92918,3.92918
2014-04-27,0.0,0.0,0.0,11.0,0.0,0.0,1.8333,0.0,0.0,3.92918,3.92918
2014-04-28,16.0,35.0,27.0,0.0,10.0,11.0,16.5,0.214562,1.738347,3.92918,5.667527
2014-04-29,2.0,0.0,2.0,0.0,0.0,0.0,0.6667,0.0,0.0,3.92918,3.92918
2014-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-01,0.0,0.0,0.0,0.0,0.0,2.0,0.3333,0.0,0.0,3.92918,3.92918
2014-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-03,0.0,0.0,14.0,0.0,0.0,0.0,2.3333,0.0,0.0,3.92918,3.92918
2014-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-06,0.0,0.0,0.0,0.0,3.0,27.0,5.0,0.0,0.0,3.92918,3.92918
2014-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-08,0.0,7.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,3.92918,3.92918
2014-05-09,0.0,0.0,1.0,0.0,0.0,0.0,0.1667,0.0,0.0,3.92918,3.92918
2014-05-10,0.0,0.0,0.0,0.0,0.0,1.0,0.1667,0.0,0.0,3.92918,3.92918
2014-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-14,0.0,30.0,31.0,0.0,27.0,31.0,19.8333,0.720403,5.836596,3.92918,9.765776
2014-05-15,0.0,15.0,2.0,0.0,0.0,0.0,2.8333,0.0,0.0,3.92918,3.92918
2014-05-16,0.0,0.0,2.0,0.0,0.0,0.0,0.3333,0.0,0.0,3.92918,3.92918
2014-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-23,0.0,8.0,0.0,0.0,0.0,0.0,1.3333,0.0,0.0,3.92918,3.92918
2014-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-05-30,0.0,0.0,0.0,0.0,9.0,0.0,1.5,0.0,0.0,3.92918,3.92918
2014-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
